2026-01-17 14:50:58.776 | INFO     | app.services.audit.auditor:audit_cases_concurrently:20 - Starting concurrent result audit for 59 passed cases...
2026-01-17 14:51:10.885 | INFO     | app.services.audit.auditor:audit_cases_concurrently:28 - Result audit completed.
2026-01-17 14:51:10.886 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:15 - Extracting defects for 47 cases concurrently...
2026-01-17 14:51:27.492 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:22 - Extracted 47 defects.
2026-01-17 15:09:42.464 | INFO     | app.services.ingest.service:parse_excel:13 - Parsing Excel file: uploads\21a1a3aa-bf93-4db5-90f2-ce9a93500503_测试数据.xlsx
2026-01-17 15:09:42.668 | INFO     | app.services.ingest.service:_align_columns_with_llm:123 - Aligning columns for sheet Sheet1 with LLM...
2026-01-17 15:09:43.931 | INFO     | app.services.ingest.service:_align_columns_with_llm:131 - Column mapping received: {'测试用例编号': 'case_name', '模块名称': 'case_name', '用例说明': 'case_name', '执行步骤': 'steps', '新加成功执行步骤': 'steps', '输入数据': 'steps', '测试结果': 'test_result'}
2026-01-17 15:09:43.932 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for case_name: 测试用例编号 vs 模块名称. Keeping 测试用例编号
2026-01-17 15:09:43.932 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for case_name: 测试用例编号 vs 用例说明. Keeping 测试用例编号
2026-01-17 15:09:43.932 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for steps: 执行步骤 vs 新加成功执行步骤. Keeping 执行步骤
2026-01-17 15:09:43.932 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for steps: 执行步骤 vs 输入数据. Keeping 执行步骤
2026-01-17 15:09:43.933 | INFO     | app.services.ingest.service:_normalize_results_with_llm:192 - Normalizing results with LLM for values: ['成功', '失败', '跳过', '阻塞']
2026-01-17 15:09:45.177 | INFO     | app.services.ingest.service:_normalize_results_with_llm:198 - Result mapping received: {'成功': 'Pass', '失败': 'Fail', '跳过': 'Skipped', '阻塞': 'Blocked'}
2026-01-17 15:09:45.182 | INFO     | app.services.ingest.service:parse_excel:37 - Parsed 107 cases from uploads\21a1a3aa-bf93-4db5-90f2-ce9a93500503_测试数据.xlsx
2026-01-17 15:09:45.192 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:16 - Starting concurrent module tagging for 107 cases...
2026-01-17 15:09:49.254 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:24 - Module tagging completed.
2026-01-17 15:09:49.599 | INFO     | app.services.audit.auditor:audit_cases_concurrently:20 - Starting concurrent result audit for 59 passed cases...
2026-01-17 15:10:01.879 | INFO     | app.services.audit.auditor:audit_cases_concurrently:28 - Result audit completed.
2026-01-17 15:10:01.880 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:15 - Extracting defects for 47 cases concurrently...
2026-01-17 15:10:27.068 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:22 - Extracted 47 defects.
2026-01-17 15:11:45.710 | INFO     | app.services.ingest.service:parse_excel:13 - Parsing Excel file: uploads\cef8669e-9ddd-4d55-ad26-e95ee45c884b_测试数据.xlsx
2026-01-17 15:11:45.746 | INFO     | app.services.ingest.service:_align_columns_with_llm:123 - Aligning columns for sheet Sheet1 with LLM...
2026-01-17 15:11:47.177 | INFO     | app.services.ingest.service:_align_columns_with_llm:131 - Column mapping received: {'测试用例编号': 'case_name', '模块名称': 'case_name', '用例说明': 'case_name', '执行步骤': 'steps', '新加成功执行步骤': 'steps', '输入数据': 'steps', '测试结果': 'test_result'}
2026-01-17 15:11:47.177 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for case_name: 测试用例编号 vs 模块名称. Keeping 测试用例编号
2026-01-17 15:11:47.177 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for case_name: 测试用例编号 vs 用例说明. Keeping 测试用例编号
2026-01-17 15:11:47.178 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for steps: 执行步骤 vs 新加成功执行步骤. Keeping 执行步骤
2026-01-17 15:11:47.178 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for steps: 执行步骤 vs 输入数据. Keeping 执行步骤
2026-01-17 15:11:47.178 | INFO     | app.services.ingest.service:_normalize_results_with_llm:192 - Normalizing results with LLM for values: ['成功', '失败', '跳过', '阻塞']
2026-01-17 15:11:48.352 | INFO     | app.services.ingest.service:_normalize_results_with_llm:198 - Result mapping received: {'成功': 'Pass', '失败': 'Fail', '跳过': 'Skipped', '阻塞': 'Blocked'}
2026-01-17 15:11:48.357 | INFO     | app.services.ingest.service:parse_excel:37 - Parsed 107 cases from uploads\cef8669e-9ddd-4d55-ad26-e95ee45c884b_测试数据.xlsx
2026-01-17 15:11:48.359 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:16 - Starting concurrent module tagging for 107 cases...
2026-01-17 15:11:53.681 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:24 - Module tagging completed.
2026-01-17 15:11:54.030 | INFO     | app.services.audit.auditor:audit_cases_concurrently:20 - Starting concurrent result audit for 59 passed cases...
2026-01-17 15:12:07.756 | INFO     | app.services.audit.auditor:audit_cases_concurrently:28 - Result audit completed.
2026-01-17 15:12:07.757 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:15 - Extracting defects for 47 cases concurrently...
2026-01-17 15:13:37.938 | INFO     | app.services.ingest.service:parse_excel:13 - Parsing Excel file: uploads\cbb15cc3-95cb-4cf2-9531-affa53405f08_测试数据.xlsx
2026-01-17 15:13:38.151 | INFO     | app.services.ingest.service:_align_columns_with_llm:123 - Aligning columns for sheet Sheet1 with LLM...
2026-01-17 15:13:39.477 | INFO     | app.services.ingest.service:_align_columns_with_llm:131 - Column mapping received: {'测试用例编号': 'case_name', '模块名称': 'case_name', '用例说明': 'case_name', '执行步骤': 'steps', '新加成功执行步骤': 'steps', '输入数据': 'precondition', '测试结果': 'test_result'}
2026-01-17 15:13:39.477 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for case_name: 测试用例编号 vs 模块名称. Keeping 测试用例编号
2026-01-17 15:13:39.478 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for case_name: 测试用例编号 vs 用例说明. Keeping 测试用例编号
2026-01-17 15:13:39.478 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for steps: 执行步骤 vs 新加成功执行步骤. Keeping 执行步骤
2026-01-17 15:13:39.478 | INFO     | app.services.ingest.service:_normalize_results_with_llm:192 - Normalizing results with LLM for values: ['成功', '失败', '跳过', '阻塞']
2026-01-17 15:13:40.460 | INFO     | app.services.ingest.service:_normalize_results_with_llm:198 - Result mapping received: {'成功': 'Pass', '失败': 'Fail', '跳过': 'Skipped', '阻塞': 'Blocked'}
2026-01-17 15:13:40.466 | INFO     | app.services.ingest.service:parse_excel:37 - Parsed 107 cases from uploads\cbb15cc3-95cb-4cf2-9531-affa53405f08_测试数据.xlsx
2026-01-17 15:13:40.474 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:16 - Starting concurrent module tagging for 107 cases...
2026-01-17 15:13:46.950 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:24 - Module tagging completed.
2026-01-17 15:13:47.294 | INFO     | app.services.audit.auditor:audit_cases_concurrently:20 - Starting concurrent result audit for 59 passed cases...
2026-01-17 15:14:02.091 | INFO     | app.services.audit.auditor:audit_cases_concurrently:28 - Result audit completed.
2026-01-17 15:14:02.092 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:15 - Extracting defects for 47 cases concurrently...
2026-01-17 15:14:27.810 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:22 - Extracted 47 defects.
2026-01-17 15:16:19.939 | INFO     | app.services.ingest.service:parse_excel:13 - Parsing Excel file: uploads\6cae4428-9979-4055-a3e0-2bd7db1dac88_测试数据.xlsx
2026-01-17 15:16:19.975 | INFO     | app.services.ingest.service:_align_columns_with_llm:123 - Aligning columns for sheet Sheet1 with LLM...
2026-01-17 15:16:21.907 | INFO     | app.services.ingest.service:_align_columns_with_llm:131 - Column mapping received: {'测试用例编号': 'case_name', '模块名称': 'remark', '用例说明': 'case_name', '执行步骤': 'steps', '新加成功执行步骤': 'steps', '输入数据': 'precondition', '测试结果': 'test_result'}
